Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Garr200908,NNSI,2,6,12,6-12,True,-0.0045802384740465385,300,-1,N/A,,False
Garr200908,NNSI,3,33,37,33-37,True,0.007477941138306576,1164,-1,N/A,,False
Garr200908,NNSI,4,3,47,3-47,True,-0.09446243215373062,195,-1,N/A,,False
Garr200908,NNSI,5,7,12,7-12,True,0.019311375282520693,344,-1,N/A,,False
Garr200908,NNSI,6,9,23,9-23,True,-0.05005223625663824,438,-1,N/A,,False
Garr200908,NNSI,7,24,52,24-52,True,0.021115160321404147,977,-1,N/A,,False
RoedunetFibre,PBR,1,22,43,22-43,True,-0.00668538210895662,791,-1,N/A,,False
RoedunetFibre,PBR,2,42,47,42-47,True,-0.02363720559283515,1068,-1,N/A,,False
RoedunetFibre,PBR,3,7,11,7-11,True,-0.002840221863551694,299,-1,N/A,,False
RoedunetFibre,PBR,4,4,28,4-28,True,-0.016483929031922417,194,-1,N/A,,False
RoedunetFibre,PBR,5,8,16,8-16,True,-0.009087903363594267,343,-1,N/A,,False
RoedunetFibre,PBR,6,10,38,10-38,True,0.0010454537172432637,437,-1,N/A,,False
RoedunetFibre,EFFRES,1,25,26,25-26,True,0.05694331882164875,840,-1,N/A,,False
RoedunetFibre,EFFRES,2,7,11,7-11,True,0.03661782627248625,299,-1,N/A,,False
RoedunetFibre,EFFRES,3,4,28,4-28,True,0.04828491092897284,194,-1,N/A,,False
RoedunetFibre,EFFRES,4,8,16,8-16,True,0.06480869837724405,343,-1,N/A,,False
RoedunetFibre,EFFRES,5,10,38,10-38,True,0.053977358658848944,437,-1,N/A,,False
RoedunetFibre,EFFRES,6,32,45,32-45,True,0.1702851960532606,977,-1,N/A,,False
RoedunetFibre,IVI,1,25,44,25-44,True,5.0,857,-1,N/A,,False
RoedunetFibre,IVI,2,3,4,3-4,True,5.0,132,-1,N/A,,False
RoedunetFibre,IVI,3,7,12,7-12,True,5.0,300,-1,N/A,,False
RoedunetFibre,IVI,4,4,29,4-29,True,5.0,195,-1,N/A,,False
RoedunetFibre,IVI,5,8,17,8-17,True,5.0,344,-1,N/A,,False
RoedunetFibre,IVI,6,10,39,10-39,True,0.0,438,-1,N/A,,False
RoedunetFibre,NNSI,1,22,40,22-40,True,0.3333333333333339,790,-1,N/A,,False
RoedunetFibre,NNSI,2,21,28,21-28,True,0.2666666666666657,754,-1,N/A,,False
RoedunetFibre,NNSI,3,7,11,7-11,True,-0.7999999999999998,299,-1,N/A,,False
RoedunetFibre,NNSI,4,4,28,4-28,True,-0.7999999999999998,194,-1,N/A,,False
RoedunetFibre,NNSI,5,8,16,8-16,True,0.0,343,-1,N/A,,False
RoedunetFibre,NNSI,6,10,38,10-38,True,0.0,437,-1,N/A,,False
Cesnet201006,PBR,1,21,27,21-27,True,0.014601907945247086,824,-1,N/A,,False
Cesnet201006,PBR,2,6,33,6-33,True,0.004014877583212115,299,-1,N/A,,False
Cesnet201006,PBR,3,36,45,36-45,True,-0.0005316068538475964,1164,-1,N/A,,False
Cesnet201006,PBR,4,4,13,4-13,True,0.013442752808159732,194,-1,N/A,,False
Cesnet201006,PBR,5,7,42,7-42,True,-0.03372574432677025,343,-1,N/A,,False
Cesnet201006,PBR,6,10,14,10-14,True,0.013868664417534385,437,-1,N/A,,False
